direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw,date,valid_ohlc,weekday,is_weekend,year,month
,,,2000-01-01,,,,,,,,,,,,,2000-01-01,False,5,True,2000,1
,,,2000-01-02,,,,,,,,,,,,,2000-01-02,False,6,True,2000,1
,,,2000-01-08,,,,,,,,,,,,,2000-01-08,False,5,True,2000,1
,,,2000-01-09,,,,,,,,,,,,,2000-01-09,False,6,True,2000,1
,,,2000-01-15,,,,,,,,,,,,,2000-01-15,False,5,True,2000,1
,,,2000-01-16,,,,,,,,,,,,,2000-01-16,False,6,True,2000,1
,,,2000-01-22,,,,,,,,,,,,,2000-01-22,False,5,True,2000,1
,,,2000-01-23,,,,,,,,,,,,,2000-01-23,False,6,True,2000,1
,,,2000-01-29,,,,,,,,,,,,,2000-01-29,False,5,True,2000,1
,,,2000-01-30,,,,,,,,,,,,,2000-01-30,False,6,True,2000,1
,,,2000-02-05,,,,,,,,,,,,,2000-02-05,False,5,True,2000,2
,,,2000-02-06,,,,,,,,,,,,,2000-02-06,False,6,True,2000,2
,,,2000-02-12,,,,,,,,,,,,,2000-02-12,False,5,True,2000,2
,,,2000-02-13,,,,,,,,,,,,,2000-02-13,False,6,True,2000,2
,,,2000-02-19,,,,,,,,,,,,,2000-02-19,False,5,True,2000,2
,,,2000-02-20,,,,,,,,,,,,,2000-02-20,False,6,True,2000,2
,,,2000-02-26,,,,,,,,,,,,,2000-02-26,False,5,True,2000,2
,,,2000-02-27,,,,,,,,,,,,,2000-02-27,False,6,True,2000,2
,,,2000-03-04,,,,,,,,,,,,,2000-03-04,False,5,True,2000,3
,,,2000-03-05,,,,,,,,,,,,,2000-03-05,False,6,True,2000,3
,,,2000-03-11,,,,,,,,,,,,,2000-03-11,False,5,True,2000,3
,,,2000-03-12,,,,,,,,,,,,,2000-03-12,False,6,True,2000,3
,,,2000-03-18,,,,,,,,,,,,,2000-03-18,False,5,True,2000,3
,,,2000-03-19,,,,,,,,,,,,,2000-03-19,False,6,True,2000,3
,,,2000-03-25,,,,,,,,,,,,,2000-03-25,False,5,True,2000,3
,,,2000-03-26,,,,,,,,,,,,,2000-03-26,False,6,True,2000,3
,,,2000-04-01,,,,,,,,,,,,,2000-04-01,False,5,True,2000,4
,,,2000-04-02,,,,,,,,,,,,,2000-04-02,False,6,True,2000,4
,,,2000-04-08,,,,,,,,,,,,,2000-04-08,False,5,True,2000,4
,,,2000-04-09,,,,,,,,,,,,,2000-04-09,False,6,True,2000,4
