date,open,high,low,close,log_price,log_return,f_r_lag1,f_past_ret_5,f_past_ret_20,f_vol_10,f_vol_30,f_ma_50,f_dist_50,f_high_vol
2000-01-03,22.525,22.525,22.525,22.525,3.1146258034944014,,,,,,,,,0
2000-01-04,22.525,22.525,22.525,22.525,3.1146258034944014,0.0,,,,,,,,0
2000-01-05,22.525,22.525,22.525,22.525,3.1146258034944014,0.0,0.0,,,,,,,0
2000-01-06,22.525,22.525,22.525,22.525,3.1146258034944014,0.0,0.0,,,,,,,0
2000-01-07,22.53,22.53,22.53,22.53,3.114847754444153,0.00022195094975163698,0.0,,,,,,,0
2000-01-10,22.53,22.53,22.53,22.53,3.114847754444153,0.0,0.00022195094975163698,0.00022195094975163698,,,,,,0
2000-01-11,22.53,22.53,22.53,22.53,3.114847754444153,0.0,0.0,0.00022195094975163698,,,,,,0
2000-01-12,22.53,22.53,22.53,22.53,3.114847754444153,0.0,0.0,0.00022195094975163698,,,,,,0
2000-01-13,22.536,22.536,22.536,22.536,3.1151140305740714,0.0002662761299183636,0.0,0.00022195094975163698,,,,,,0
2000-01-14,22.536,22.536,22.536,22.536,3.1151140305740714,0.0,0.0002662761299183636,0.0002662761299183636,,,,,,0
2000-01-17,22.536,22.536,22.536,22.536,3.1151140305740714,0.0,0.0,0.0002662761299183636,,,,,,0
2000-01-18,22.536,22.536,22.536,22.536,3.1151140305740714,0.0,0.0,0.0002662761299183636,,0.00010345618145306479,,,,0
2000-01-19,22.536,22.536,22.536,22.536,3.1151140305740714,0.0,0.0,0.0002662761299183636,,0.00010345618145306479,,,,0
2000-01-20,22.536,22.536,22.536,22.536,3.1151140305740714,0.0,0.0,0.0,,0.00010345618145306479,,,,0
2000-01-21,22.536,22.536,22.536,22.536,3.1151140305740714,0.0,0.0,0.0,,0.00010345618145306479,,,,0
2000-01-24,22.596,22.596,22.596,22.596,3.1177728994630156,0.002658868888944177,0.0,0.0,,8.420390570769342e-05,,,,0
2000-01-25,22.596,22.596,22.596,22.596,3.1177728994630156,0.0,0.002658868888944177,0.002658868888944177,,0.0008356527327532591,,,,0
2000-01-26,22.596,22.596,22.596,22.596,3.1177728994630156,0.0,0.0,0.002658868888944177,,0.0008356527327532591,,,,0
2000-01-27,22.596,22.596,22.596,22.596,3.1177728994630156,0.0,0.0,0.002658868888944177,,0.0008356527327532591,,,,0
2000-01-28,22.596,22.596,22.596,22.596,3.1177728994630156,0.0,0.0,0.002658868888944177,,0.000840808168882489,,,,0
