date,close,ret_log,y_pred,signal_t,position,strat_ret_log,equity
2016-01-01,31.2,0.0,,1,1,0.0,1.0
2016-01-04,31.9,0.02218791497536232,,1,1,0.02218791497536232,1.0224358974358976
2016-01-05,34.4,0.07545055458855376,,1,1,0.07545055458855376,1.1025641025641026
2016-01-06,34.2,-0.005830920310792909,,1,1,-0.005830920310792909,1.0961538461538465
2016-01-07,34.1,-0.0029282597790887266,,1,1,-0.0029282597790887266,1.092948717948718
2016-01-08,34.0,-0.0029368596733094776,,1,1,-0.0029368596733094776,1.08974358974359
2016-01-11,33.9,-0.0029455102297570868,,1,1,-0.0029455102297570868,1.0865384615384615
2016-01-12,33.9,0.0,,1,1,0.0,1.0865384615384615
2016-01-13,34.4,0.0146415499929482,,1,1,0.0146415499929482,1.1025641025641026
2016-01-14,34.3,-0.0029112102074586588,,1,1,-0.0029112102074586588,1.0993589743589742
2016-01-15,34.2,-0.00291971010333425,,1,1,-0.00291971010333425,1.0961538461538465
2016-01-18,34.1,-0.0029282597790887266,,1,1,-0.0029282597790887266,1.092948717948718
2016-01-19,34.0,-0.0029368596733094776,,1,1,-0.0029368596733094776,1.08974358974359
2016-01-20,34.3,0.008784829555732454,,1,1,0.008784829555732454,1.0993589743589742
2016-01-21,34.3,0.0,,1,1,0.0,1.0993589743589742
2016-01-22,34.4,0.0029112102074586588,,1,1,0.0029112102074586588,1.1025641025641026
2016-01-25,34.3,-0.0029112102074586588,,1,1,-0.0029112102074586588,1.0993589743589742
2016-01-26,34.3,0.0,,1,1,0.0,1.0993589743589742
2016-01-27,34.4,0.0029112102074586588,,1,1,0.0029112102074586588,1.1025641025641026
2016-01-28,34.4,0.0,,1,1,0.0,1.1025641025641026
2016-01-29,34.4,0.0,,1,1,0.0,1.1025641025641026
2016-02-01,34.3,-0.0029112102074586588,,1,1,-0.0029112102074586588,1.0993589743589742
2016-02-02,34.3,0.0,,1,1,0.0,1.0993589743589742
2016-02-03,34.3,0.0,,1,1,0.0,1.0993589743589742
2016-02-04,34.3,0.0,,1,1,0.0,1.0993589743589742
2016-02-05,34.3,0.0,,1,1,0.0,1.0993589743589742
2016-02-08,34.3,0.0,,1,1,0.0,1.0993589743589742
2016-02-09,34.3,0.0,,1,1,0.0,1.0993589743589742
2016-02-10,34.3,0.0,,1,1,0.0,1.0993589743589742
2016-02-11,34.3,0.0,,1,1,0.0,1.0993589743589742
