date,close,ret_log,y_pred,signal_t,position,strat_ret_log,equity
2014-01-01,29.15,0.0,1,1,0,0.0,1.0
2014-01-02,29.15,0.0,1,1,1,0.0,1.0
2014-01-03,29.15,0.0,1,1,1,0.0,1.0
2014-01-06,29.15,0.0,1,1,1,0.0,1.0
2014-01-07,29.05,-0.0034364294985809174,1,1,1,-0.0034364294985809174,0.9965694682675817
2014-01-08,29.15,0.0034364294985809174,-1,-1,1,0.0034364294985809174,1.0
2014-01-09,29.15,0.0,-1,-1,-1,-0.0,1.0
2014-01-10,29.15,0.0,1,1,-1,-0.0,1.0
2014-01-13,28.95,-0.006884708777497028,1,1,1,-0.006884708777497028,0.993138936535163
2014-01-14,28.85,-0.0034602110648958018,-1,-1,1,-0.0034602110648958018,0.9897084048027445
2014-01-15,28.75,-0.0034722257107491217,-1,-1,-1,0.0034722257107491217,0.9931508688194496
2014-01-16,29.05,0.010380716054561034,-1,-1,-1,-0.010380716054561034,0.9828945775751865
2014-01-17,29.25,0.0068610903799450895,-1,-1,-1,-0.0068610903799450895,0.976173930890912
2014-01-20,29.25,0.0,-1,-1,-1,-0.0,0.976173930890912
2014-01-21,29.25,0.0,-1,-1,-1,-0.0,0.976173930890912
2014-01-22,29.25,0.0,-1,-1,-1,-0.0,0.976173930890912
2014-01-23,29.05,-0.0068610903799450895,1,1,-1,0.0068610903799450895,0.9828945775751865
2014-01-24,29.15,0.0034364294985809174,1,1,1,0.0034364294985809174,0.9862780356735519
2014-01-27,29.25,0.003424660881364172,-1,-1,1,0.003424660881364172,0.9896614937719175
2014-01-28,29.05,-0.0068610903799450895,1,1,-1,0.0068610903799450895,0.9964749980319649
2014-01-29,29.25,0.0068610903799450895,1,1,1,0.0068610903799450895,1.0033354110993105
2014-01-30,29.25,0.0,1,1,1,0.0,1.0033354110993105
2014-01-31,29.05,-0.0068610903799450895,1,1,1,-0.0068610903799450895,0.9964749980319649
2014-02-03,29.15,0.0034364294985809174,1,1,1,0.0034364294985809174,0.9999052045656375
2014-02-04,29.15,0.0,1,1,1,0.0,0.9999052045656375
2014-02-05,29.15,0.0,1,1,1,0.0,0.9999052045656375
2014-02-06,29.05,-0.0034364294985809174,1,1,1,-0.0034364294985809174,0.9964749980319649
2014-02-07,28.95,-0.003448279278916111,1,1,1,-0.003448279278916111,0.993044791498292
2014-02-10,29.25,0.0103093696588612,1,1,1,0.0103093696588612,1.0033354110993105
2014-02-11,29.25,0.0,1,1,1,0.0,1.0033354110993105
2014-02-12,29.25,0.0,1,1,1,0.0,1.0033354110993105
2014-02-13,29.25,0.0,1,1,1,0.0,1.0033354110993105
2014-02-14,29.25,0.0,1,1,1,0.0,1.0033354110993105
2014-02-17,29.25,0.0,1,1,1,0.0,1.0033354110993105
2014-02-18,29.25,0.0,1,1,1,0.0,1.0033354110993105
2014-02-19,29.15,-0.003424660881364172,1,1,1,-0.003424660881364172,0.9999052045656375
2014-02-20,29.1,-0.0017167386190544143,1,1,1,-0.0017167386190544143,0.9981901012988013
2014-02-21,29.25,0.005141399500418586,1,1,1,0.005141399500418586,1.0033354110993105
2014-02-24,29.15,-0.003424660881364172,1,1,1,-0.003424660881364172,0.9999052045656375
2014-02-25,29.15,0.0,1,1,1,0.0,0.9999052045656375
2014-02-26,29.15,0.0,1,1,1,0.0,0.9999052045656375
2014-02-27,29.15,0.0,-1,-1,1,0.0,0.9999052045656375
2014-02-28,29.15,0.0,1,1,-1,-0.0,0.9999052045656375
2014-03-03,29.1,-0.0017167386190544143,1,1,1,-0.0017167386190544143,0.9981901012988013
2014-03-04,29.25,0.005141399500418586,1,1,1,0.005141399500418586,1.0033354110993105
2014-03-05,29.25,0.0,1,1,1,0.0,1.0033354110993105
2014-03-06,29.25,0.0,1,1,1,0.0,1.0033354110993105
2014-03-07,29.1,-0.005141399500418586,1,1,1,-0.005141399500418586,0.9981901012988013
2014-03-10,29.25,0.005141399500418586,-1,-1,1,0.005141399500418586,1.0033354110993105
2014-03-11,29.25,0.0,1,1,-1,-0.0,1.0033354110993105
2014-03-12,29.1,-0.005141399500418586,1,1,1,-0.005141399500418586,0.9981901012988013
2014-03-13,29.25,0.005141399500418586,1,1,1,0.005141399500418586,1.0033354110993105
2014-03-14,29.15,-0.003424660881364172,-1,-1,1,-0.003424660881364172,0.9999052045656375
2014-03-17,29.25,0.003424660881364172,1,1,-1,-0.003424660881364172,0.9964867252337891
2014-03-18,29.25,0.0,1,1,1,0.0,0.9964867252337891
2014-03-19,29.25,0.0,1,1,1,0.0,0.9964867252337891
2014-03-20,29.25,0.0,1,1,1,0.0,0.9964867252337891
2014-03-21,29.95,0.02364975088359289,1,1,1,0.02364975088359289,1.0203342707949397
2014-03-24,29.95,0.0,1,1,1,0.0,1.0203342707949397
2014-03-25,29.85,-0.0033444847228474295,1,1,1,-0.0033444847228474295,1.016927478571918
2014-03-26,29.85,0.0,1,1,1,0.0,1.016927478571918
2014-03-27,29.85,0.0,1,1,1,0.0,1.016927478571918
2014-03-28,30.0,0.005012541823544492,1,1,1,0.005012541823544492,1.0220376669064504
2014-03-31,29.85,-0.005012541823544492,1,1,1,-0.005012541823544492,1.016927478571918
2014-04-01,29.85,0.0,1,1,1,0.0,1.016927478571918
2014-04-02,29.75,-0.0033557078469721446,1,1,1,-0.0033557078469721446,1.0135206863488966
2014-04-03,30.1,0.011696039763191113,1,1,1,0.011696039763191113,1.0254444591294718
2014-04-04,30.25,0.004971012722020607,1,1,1,0.004971012722020607,1.0305546474640042
2014-04-07,29.75,-0.01666705248521172,1,1,1,-0.01666705248521172,1.0135206863488966
2014-04-08,29.75,0.0,1,1,1,0.0,1.0135206863488966
2014-04-09,30.55,0.02653555362596549,1,1,1,0.02653555362596549,1.0407750241330687
2014-04-10,30.55,0.0,1,1,1,0.0,1.0407750241330687
2014-04-11,29.75,-0.02653555362596549,1,1,1,-0.02653555362596549,1.0135206863488966
2014-04-14,29.75,0.0,1,1,1,0.0,1.0135206863488966
2014-04-15,30.15,0.01335579118155561,1,1,1,0.01335579118155561,1.0271478552409825
2014-04-16,29.75,-0.01335579118155561,1,1,1,-0.01335579118155561,1.0135206863488966
2014-04-17,29.75,0.0,1,1,1,0.0,1.0135206863488966
2014-04-18,29.75,0.0,-1,-1,1,0.0,1.0135206863488966
2014-04-21,29.85,0.0033557078469721446,-1,-1,-1,-0.0033557078469721446,1.0101253071651484
2014-04-22,29.75,-0.0033557078469721446,1,1,-1,0.0033557078469721446,1.0135206863488966
2014-04-23,30.0,0.008368249670516636,-1,-1,1,0.008368249670516636,1.0220376669064504
2014-04-24,30.0,0.0,1,1,-1,-0.0,1.0220376669064504
2014-04-25,29.15,-0.028742468865654125,-1,-1,1,-0.028742468865654125,0.9930799330107676
2014-04-28,29.75,0.02037421919513749,-1,-1,-1,-0.02037421919513749,0.9730514301601302
2014-04-29,29.8,0.0016792615197198657,-1,-1,-1,-0.0016792615197198657,0.9714187935323448
2014-04-30,29.85,0.001676446327252279,1,1,-1,-0.001676446327252279,0.9697916263739992
2014-05-01,29.75,-0.0033557078469721446,-1,-1,1,-0.0033557078469721446,0.9665427432035673
2014-05-02,29.75,0.0,-1,-1,-1,-0.0,0.9665427432035673
2014-05-05,29.75,0.0,1,1,-1,-0.0,0.9665427432035673
2014-05-06,29.15,-0.02037421919513749,1,1,1,-0.02037421919513749,0.9470494441809741
2014-05-07,29.09,-0.002060440289390897,-1,-1,1,-0.002060440289390897,0.9451001142787151
2014-05-08,29.75,0.022434659484528385,-1,-1,-1,-0.022434659484528385,0.9241331873737084
2014-05-09,29.15,-0.02037421919513749,-1,-1,-1,0.02037421919513749,0.943154796719308
2014-05-12,29.75,0.02037421919513749,-1,-1,-1,-0.02037421919513749,0.9241331873737084
