date,close,ret_log,y_pred_raw,signal_t,position,strat_ret_log,equity
2020-01-01,37.655,0.0,1,1,0,0.0,1.0
2020-01-02,37.655,0.0,1,1,1,0.0,1.0
2020-01-03,37.52,-0.003591623415291,1,1,1,-0.003591623415291,0.9964148187491703
2020-01-06,37.5,-0.0005331911616588,1,1,1,-0.0005331911616588,0.9958836807860842
2020-01-07,37.5,0.0,1,1,1,0.0,0.9958836807860842
2020-01-08,37.5,0.0,1,1,1,0.0,0.9958836807860842
2020-01-09,37.575,0.0019980026626731,1,1,1,0.0019980026626731,0.9978754481476565
2020-01-10,37.676,0.0026843513215322,1,1,1,0.0026843513215322,1.00055769486124
2020-01-13,37.5,-0.0046823539842053,1,1,1,-0.0046823539842053,0.9958836807860842
2020-01-14,37.73,0.006114600999854,1,1,1,0.006114600999854,1.0019917673615724
2020-01-15,37.893,0.0043108644837288,1,1,1,0.0043108644837288,1.0063205417607226
2020-01-16,37.5,-0.0104254654835829,1,1,1,-0.0104254654835829,0.9958836807860842
2020-01-17,37.5,0.0,1,1,1,0.0,0.9958836807860842
2020-01-20,37.5,0.0,1,1,1,0.0,0.9958836807860842
2020-01-21,37.5,0.0,1,1,1,0.0,0.9958836807860842
2020-01-22,37.5,0.0,1,1,1,0.0,0.9958836807860842
2020-01-23,37.47,-0.0008003201707693,1,1,1,-0.0008003201707693,0.9950869738414552
2020-01-24,37.5,0.0008003201707693,1,1,1,0.0008003201707693,0.9958836807860842
2020-01-27,37.49,-0.0002667022285445,1,1,1,-0.0002667022285445,0.9956181118045412
2020-01-28,37.5,0.0002667022285445,1,1,1,0.0002667022285445,0.9958836807860842
2020-01-29,37.4,-0.0026702285558788,1,1,1,-0.0026702285558788,0.9932279909706547
2020-01-30,37.435,0.0009353912621623,1,1,1,0.0009353912621623,0.9941574824060551
2020-01-31,37.5,0.0017348372937164,1,1,1,0.0017348372937164,0.9958836807860841
2020-02-03,37.594,0.0025035302180387,1,1,1,0.0025035302180387,0.9983800292125881
2020-02-04,37.736,0.0037700827875566,1,1,1,0.0037700827875566,1.0021511087504977
2020-02-05,37.5,-0.0062736130055953,1,1,1,-0.0062736130055953,0.9958836807860841
2020-02-06,37.5,0.0,1,1,1,0.0,0.9958836807860841
2020-02-07,37.5,0.0,1,1,1,0.0,0.9958836807860841
2020-02-10,37.5,0.0,1,1,1,0.0,0.9958836807860841
2020-02-11,37.54,0.0010660981819974,1,1,1,0.0010660981819974,0.9969459567122557
2020-02-12,37.5,-0.0010660981819974,1,1,1,-0.0010660981819974,0.9958836807860841
2020-02-13,37.5,0.0,1,1,1,0.0,0.9958836807860841
2020-02-14,37.5,0.0,1,1,1,0.0,0.9958836807860841
2020-02-17,37.5,0.0,1,1,1,0.0,0.9958836807860841
2020-02-18,37.37,-0.0034726894789725,1,1,1,-0.0034726894789725,0.9924312840260258
2020-02-19,37.543,0.0046186992255479,1,1,1,0.0046186992255479,0.9970256274067189
2020-02-20,37.5,-0.0011460097465754,1,1,1,-0.0011460097465754,0.9958836807860841
2020-02-21,37.391,-0.0029108992259714,1,1,1,-0.0029108992259714,0.9929889788872658
2020-02-24,37.62,0.0061057901224903,1,1,1,0.0061057901224903,0.9990705085645992
2020-02-25,37.62,0.0,1,1,1,0.0,0.9990705085645992
2020-02-26,37.62,0.0,1,1,1,0.0,0.9990705085645992
2020-02-27,37.62,0.0,1,1,1,0.0,0.9990705085645992
2020-02-28,37.47,-0.0039952110672882,1,1,1,-0.0039952110672882,0.9950869738414551
2020-03-02,37.6,0.0034634375902529,1,1,1,0.0034634375902529,0.9985393706015135
2020-03-03,37.6,0.0,1,1,1,0.0,0.9985393706015135
2020-03-04,37.6,0.0,1,1,1,0.0,0.9985393706015135
2020-03-05,37.6,0.0,1,1,1,0.0,0.9985393706015135
2020-03-06,37.6,0.0,1,1,1,0.0,0.9985393706015135
2020-03-09,37.605,0.0001329698825176,1,1,1,0.0001329698825176,0.998672155092285
2020-03-10,37.585,-0.000531985648934,1,1,1,-0.000531985648934,0.9981410171291993
2020-03-11,37.625,0.0010636884396073,1,1,1,0.0010636884396073,0.9992032930553709
2020-03-12,37.625,0.0,1,1,1,0.0,0.9992032930553709
2020-03-13,37.695,0.0018587365946256,1,1,1,0.0018587365946256,1.0010622759261718
2020-03-16,37.598,-0.0025766021718958,1,1,1,-0.0025766021718958,0.9984862568052048
2020-03-17,37.698,0.0026561851570954,1,1,1,0.0026561851570954,1.0011419466206344
2020-03-18,37.698,0.0,1,1,1,0.0,1.0011419466206344
2020-03-19,37.6,-0.0026029922530161,1,1,1,-0.0026029922530161,0.9985393706015135
2020-03-20,37.6,0.0,1,1,1,0.0,0.9985393706015135
2020-03-23,37.6,0.0,1,1,1,0.0,0.9985393706015135
2020-03-24,37.625,0.0006646726731909,1,1,1,0.0006646726731909,0.9992032930553709
2020-03-25,37.625,0.0,1,1,1,0.0,0.9992032930553709
2020-03-26,37.625,0.0,1,1,1,0.0,0.9992032930553709
2020-03-27,37.625,0.0,1,1,1,0.0,0.9992032930553709
2020-03-30,37.625,0.0,1,1,1,0.0,0.9992032930553709
2020-03-31,37.625,0.0,1,1,1,0.0,0.9992032930553709
2020-04-01,37.625,0.0,1,1,1,0.0,0.9992032930553709
2020-04-02,37.625,0.0,1,1,1,0.0,0.9992032930553709
2020-04-03,37.9,0.0072823890193411,1,1,1,0.0072823890193411,1.0065064400478023
2020-04-06,37.9,0.0,1,1,1,0.0,1.0065064400478023
2020-04-07,37.9,0.0,1,1,1,0.0,1.0065064400478023
2020-04-08,37.9,0.0,1,1,1,0.0,1.0065064400478023
2020-04-09,37.915,0.000395700064518,1,1,1,0.000395700064518,1.0069047935201167
2020-04-10,37.775,-0.0036993039940957,1,1,1,-0.0036993039940957,1.0031868277785152
2020-04-13,37.775,0.0,1,1,1,0.0,1.0031868277785152
2020-04-14,37.775,0.0,1,1,1,0.0,1.0031868277785152
2020-04-15,37.775,0.0,1,1,1,0.0,1.0031868277785152
2020-04-16,37.795,0.0005293105853367,1,1,1,0.0005293105853367,1.003717965741601
