strategy,window,return_convention_core,date_min,date_max,n_days,missing_y_pred_filled_neutral,cumulative_log_return,cumulative_simple_return,annualized_vol_ddof0,sharpe_like_rf0_ddof0,max_drawdown,exposure_rate,turnover_proxy_mean_abs_dpos,n_position_change_events,n_flips,n_roundtrip_trades,win_rate
T1_L1Q_LR,V1_test,log,2020-01-01 00:00:00,2025-11-25 00:00:00,1540,5,0.0,0.0,,,0.0,0.0,0.0,0,0,0,
T2_L2_LR,V1_test,log,2020-01-01 00:00:00,2025-11-25 00:00:00,1540,0,0.1965607033202897,0.2172092072759655,0.0610642202837067,0.5267319974888883,-0.0468397277941764,0.9993506493506492,0.1915584415584415,148,147,148,0.3851351351351351
B1_USDhold,V1_test,log,2020-01-01 00:00:00,2025-11-25 00:00:00,1540,0,0.0589125804343527,0.060682512282564,0.0610948081591226,0.1577914838459609,-0.1155337296459033,0.9993506493506492,0.0006493506493506,1,0,1,1.0
B2_MAcross,V1_test,log,2020-01-01 00:00:00,2025-11-25 00:00:00,1540,0,0.18014235900859954,0.1973878099307338,0.05857110492813863,0.5032829857181313,-0.08972166047891494,0.8253246753246753,0.07732293697205977,115,4,115,0.3210070810385523
