experiment,split,accuracy,macro_f1
E1_logistic_V1_L1Q_FCORE,train,0.5927984533591106,0.26036552249948475
E1_logistic_V1_L1Q_FCORE,val,0.7861936720997124,0.293433530148506
E1_logistic_V1_L1Q_FCORE,test,0.7315960912052117,0.2816654125909205
