experiment,split,accuracy,macro_f1
E3_linearSVM_V1_L1Q_FCORE,train,0.5930401159980667,0.2603262022923106
E3_linearSVM_V1_L1Q_FCORE,val,0.7861936720997124,0.293433530148506
E3_linearSVM_V1_L1Q_FCORE,test,0.7315960912052117,0.2816654125909205
