split,accuracy,macro_f1,f1_class_-1,f1_class_0,f1_class_1
V1_train,0.625273390036452,0.4556143712765926,0.6217616580310881,0.023106546854942234,0.7219749089437475
V1_val,0.7037392138063279,0.40099958972063704,0.37037037037037035,0.0,0.8326283987915408
V1_test,0.6168831168831169,0.40860649301115076,0.4939759036144578,0.0,0.7318435754189944
