experiment,fold,split,accuracy,macro_f1
E2_logistic_V2_L1Q_FCORE,F1,train,0.6626506024096386,0.27757419284648
E2_logistic_V2_L1Q_FCORE,F1,test,0.4990403071017274,0.22193768672641911
E2_logistic_V2_L1Q_FCORE,F2,train,0.6351001939237233,0.2677012914817793
E2_logistic_V2_L1Q_FCORE,F2,test,0.4942528735632184,0.2205128205128205
E2_logistic_V2_L1Q_FCORE,F3,train,0.6122787610619469,0.26319298168947564
E2_logistic_V2_L1Q_FCORE,F3,test,0.46551724137931033,0.21673606588650104
E2_logistic_V2_L1Q_FCORE,F4,train,0.5927984533591106,0.26036552249948475
E2_logistic_V2_L1Q_FCORE,F4,test,0.7861936720997124,0.293433530148506
