date,close,ret_log,y_pred,signal_t,position,strat_ret_log,equity
2012-01-02,28.923,0.0007955312319665175,0,0,0,0.0,1.0
2012-01-03,28.944,0.0007258023025862315,0,0,0,0.0,1.0
2012-01-04,29.0,0.0019329013335349643,0,0,0,0.0,1.0
2012-01-05,29.0,0.0,0,0,0,0.0,1.0
2012-01-06,29.05,0.001722653311446276,0,0,0,0.0,1.0
2012-01-09,29.0,-0.001722653311446276,0,0,0,-0.0,1.0
2012-01-10,29.0,0.0,0,0,0,0.0,1.0
2012-01-11,29.0,0.0,0,0,0,0.0,1.0
2012-01-12,29.0,0.0,0,0,0,0.0,1.0
2012-01-13,29.0,0.0,0,0,0,0.0,1.0
2012-01-16,29.0,0.0,0,0,0,0.0,1.0
2012-01-17,29.15,0.0051590828100271935,0,0,0,0.0,1.0
2012-01-18,29.1,-0.0017167386190544143,0,0,0,-0.0,1.0
2012-01-19,29.1,0.0,0,0,0,0.0,1.0
2012-01-20,29.1,0.0,0,0,0,0.0,1.0
2012-01-23,29.1,0.0,0,0,0,0.0,1.0
2012-01-24,29.1,0.0,0,0,0,0.0,1.0
2012-01-25,29.1,0.0,0,0,0,0.0,1.0
2012-01-26,29.1,0.0,0,0,0,0.0,1.0
2012-01-27,29.1,0.0,0,0,0,0.0,1.0
2012-01-30,29.15,0.0017167386190544143,0,0,0,0.0,1.0
2012-01-31,29.15,0.0,0,0,0,0.0,1.0
2012-02-01,29.15,0.0,0,0,0,0.0,1.0
2012-02-02,29.15,0.0,0,0,0,0.0,1.0
2012-02-03,29.15,0.0,0,0,0,0.0,1.0
2012-02-06,29.15,0.0,0,0,0,0.0,1.0
2012-02-07,29.15,0.0,0,0,0,0.0,1.0
2012-02-08,29.15,0.0,0,0,0,0.0,1.0
2012-02-09,29.15,0.0,0,0,0,0.0,1.0
2012-02-10,29.15,0.0,0,0,0,0.0,1.0
2012-02-13,29.2,0.0017137964777345083,0,0,0,0.0,1.0
2012-02-14,29.25,0.0017108644036296639,0,0,0,0.0,1.0
2012-02-15,29.25,0.0,0,0,0,0.0,1.0
2012-02-16,29.25,0.0,0,0,0,0.0,1.0
2012-02-17,29.25,0.0,0,0,0,0.0,1.0
2012-02-20,29.25,0.0,0,0,0,0.0,1.0
2012-02-21,29.35,0.0034129725962399604,0,0,0,0.0,1.0
2012-02-22,29.4,0.0017021280705304953,0,0,0,0.0,1.0
2012-02-23,29.4,0.0,0,0,0,0.0,1.0
2012-02-24,29.4,0.0,0,0,0,0.0,1.0
2012-02-27,29.4,0.0,0,0,0,0.0,1.0
2012-02-28,29.4,0.0,0,0,0,0.0,1.0
2012-02-29,29.45,0.0016992357529597157,0,0,0,0.0,1.0
2012-03-01,29.45,0.0,0,0,0,0.0,1.0
2012-03-02,29.4,-0.0016992357529597157,0,0,0,-0.0,1.0
2012-03-05,29.45,0.0016992357529597157,0,0,0,0.0,1.0
2012-03-06,29.55,0.0033898337545115176,0,0,0,0.0,1.0
2012-03-07,29.45,-0.0033898337545115176,0,0,0,-0.0,1.0
2012-03-08,29.25,-0.0068143364197301715,0,0,0,-0.0,1.0
2012-03-09,29.25,0.0,0,0,0,0.0,1.0
2012-03-12,29.25,0.0,0,0,0,0.0,1.0
2012-03-13,29.25,0.0,0,0,0,0.0,1.0
2012-03-14,29.4,0.005115100666770456,0,0,0,0.0,1.0
2012-03-15,29.4,0.0,0,0,0,0.0,1.0
2012-03-16,29.3,-0.003407158321614201,0,0,0,-0.0,1.0
2012-03-19,29.35,0.0017050302510837057,0,0,0,0.0,1.0
2012-03-20,29.35,0.0,0,0,0,0.0,1.0
2012-03-21,29.45,0.003401363823490211,0,0,0,0.0,1.0
2012-03-22,29.45,0.0,0,0,0,0.0,1.0
2012-03-23,29.4,-0.0016992357529597157,0,0,0,-0.0,1.0
2012-03-26,29.2,-0.00682596507040012,0,0,0,-0.0,1.0
2012-03-27,29.15,-0.0017137964777345083,0,0,0,-0.0,1.0
2012-03-28,29.2,0.0017137964777345083,0,0,0,0.0,1.0
2012-03-29,29.2,0.0,0,0,0,0.0,1.0
2012-03-30,29.2,0.0,0,0,0,0.0,1.0
2012-04-02,29.25,0.0017108644036296639,0,0,0,0.0,1.0
2012-04-03,29.25,0.0,0,0,0,0.0,1.0
2012-04-04,29.1,-0.005141399500418586,0,0,0,-0.0,1.0
2012-04-05,29.1,0.0,0,0,0,0.0,1.0
2012-04-06,29.1,0.0,0,0,0,0.0,1.0
2012-04-09,29.15,0.0017167386190544143,0,0,0,0.0,1.0
2012-04-10,29.175,0.0008572653761182991,0,0,0,0.0,1.0
2012-04-11,29.15,-0.0008572653761182991,0,0,0,-0.0,1.0
2012-04-12,29.15,0.0,0,0,0,0.0,1.0
2012-04-13,29.1,-0.0017167386190544143,0,0,0,-0.0,1.0
2012-04-16,29.1,0.0,0,0,0,0.0,1.0
2012-04-17,29.15,0.0017167386190544143,0,0,0,0.0,1.0
2012-04-18,29.15,0.0,0,0,0,0.0,1.0
2012-04-19,29.15,0.0,0,0,0,0.0,1.0
2012-04-20,29.15,0.0,0,0,0,0.0,1.0
2012-04-23,29.15,0.0,0,0,0,0.0,1.0
2012-04-24,29.25,0.003424660881364172,0,0,0,0.0,1.0
2012-04-25,29.25,0.0,0,0,0,0.0,1.0
2012-04-26,29.25,0.0,0,0,0,0.0,1.0
2012-04-27,29.2,-0.0017108644036296639,0,0,0,-0.0,1.0
2012-04-30,29.2,0.0,0,0,0,0.0,1.0
2012-05-01,29.2,0.0,0,0,0,0.0,1.0
2012-05-02,29.25,0.0017108644036296639,0,0,0,0.0,1.0
2012-05-03,29.3,0.0017079423451562548,0,0,0,0.0,1.0
2012-05-04,29.2,-0.0034188067487859186,0,0,0,-0.0,1.0
2012-05-07,29.25,0.0017108644036296639,0,0,0,0.0,1.0
2012-05-08,29.3,0.0017079423451562548,0,0,0,0.0,1.0
2012-05-09,29.3,0.0,0,0,0,0.0,1.0
2012-05-10,29.3,0.0,0,0,0,0.0,1.0
2012-05-11,29.3,0.0,0,0,0,0.0,1.0
2012-05-14,29.35,0.0017050302510837057,0,0,0,0.0,1.0
2012-05-15,29.35,0.0,0,0,0,0.0,1.0
2012-05-16,29.35,0.0,0,0,0,0.0,1.0
2012-05-17,29.35,0.0,0,0,0,0.0,1.0
2012-05-18,29.45,0.003401363823490211,0,0,0,0.0,1.0
2012-05-21,29.5,0.001696353248178628,0,0,0,0.0,1.0
2012-05-22,29.4,-0.003395589001138344,0,0,0,-0.0,1.0
2012-05-23,29.45,0.0016992357529597157,0,0,0,0.0,1.0
2012-05-24,29.45,0.0,0,0,0,0.0,1.0
2012-05-25,29.45,0.0,0,0,0,0.0,1.0
2012-05-28,29.5,0.001696353248178628,0,0,0,0.0,1.0
2012-05-29,29.25,-0.0085106896679088,0,0,0,-0.0,1.0
2012-05-30,29.25,0.0,0,0,0,0.0,1.0
2012-05-31,29.35,0.0034129725962399604,0,0,0,0.0,1.0
2012-06-01,29.35,0.0,0,0,0,0.0,1.0
2012-06-04,29.35,0.0,0,0,0,0.0,1.0
2012-06-05,29.35,0.0,0,0,0,0.0,1.0
2012-06-06,29.35,0.0,0,0,0,0.0,1.0
2012-06-07,29.35,0.0,0,0,0,0.0,1.0
2012-06-08,29.45,0.003401363823490211,0,0,0,0.0,1.0
2012-06-11,29.45,0.0,0,0,0,0.0,1.0
2012-06-12,29.5,0.001696353248178628,0,0,0,0.0,1.0
2012-06-13,29.5,0.0,0,0,0,0.0,1.0
2012-06-14,29.55,0.0016934805063328895,0,0,0,0.0,1.0
2012-06-15,29.6,0.0016906174779074412,0,0,0,0.0,1.0
2012-06-18,29.6,0.0,0,0,0,0.0,1.0
2012-06-19,29.6,0.0,0,0,0,0.0,1.0
2012-06-20,29.6,0.0,0,0,0,0.0,1.0
2012-06-21,29.55,-0.0016906174779074412,0,0,0,-0.0,1.0
2012-06-22,29.55,0.0,0,0,0,0.0,1.0
2012-06-25,29.35,-0.006791197578001729,0,0,0,-0.0,1.0
2012-06-26,29.4,0.0017021280705304953,0,0,0,0.0,1.0
2012-06-27,29.4,0.0,0,0,0,0.0,1.0
2012-06-28,29.4,0.0,0,0,0,0.0,1.0
2012-06-29,29.4,0.0,0,0,0,0.0,1.0
2012-07-02,29.4,0.0,0,0,0,0.0,1.0
2012-07-03,29.4,0.0,0,0,0,0.0,1.0
2012-07-04,29.4,0.0,0,0,0,0.0,1.0
2012-07-05,29.4,0.0,0,0,0,0.0,1.0
2012-07-06,29.4,0.0,0,0,0,0.0,1.0
2012-07-09,29.4,0.0,0,0,0,0.0,1.0
2012-07-10,29.4,0.0,0,0,0,0.0,1.0
2012-07-11,29.65,0.008467451099098522,0,0,0,0.0,1.0
2012-07-12,29.7,0.0016849203649194067,0,0,0,0.0,1.0
2012-07-13,29.7,0.0,0,0,0,0.0,1.0
2012-07-16,29.7,0.0,0,0,0,0.0,1.0
2012-07-17,29.7,0.0,0,0,0,0.0,1.0
2012-07-18,29.8,0.0033613477027047978,0,0,0,0.0,1.0
2012-07-19,29.8,0.0,0,0,0,0.0,1.0
2012-07-20,29.9,0.003350086885281822,0,0,0,0.0,1.0
2012-07-23,29.9,0.0,0,0,0,0.0,1.0
2012-07-24,29.9,0.0,0,0,0,0.0,1.0
2012-07-25,30.0,0.0033389012655149486,0,0,0,0.0,1.0
2012-07-26,30.05,0.0016652793190612414,0,0,0,0.0,1.0
2012-07-27,30.1,0.001662510773613235,0,0,0,0.0,1.0
2012-07-30,30.1,0.0,0,0,0,0.0,1.0
2012-07-31,30.1,0.0,0,0,0,0.0,1.0
2012-08-01,30.15,0.0016597514183644968,0,0,0,0.0,1.0
2012-08-02,30.2,0.0016570012076293494,0,0,0,0.0,1.0
2012-08-03,30.2,0.0,0,0,0,0.0,1.0
2012-08-06,30.15,-0.0016570012076293494,0,0,0,-0.0,1.0
2012-08-07,30.15,0.0,0,0,0,0.0,1.0
2012-08-08,30.3,0.004962789342128904,0,0,0,0.0,1.0
2012-08-09,30.4,0.003294895896852612,0,0,0,0.0,1.0
2012-08-10,30.4,0.0,0,0,0,0.0,1.0
2012-08-13,30.4,0.0,0,0,0,0.0,1.0
2012-08-14,30.1,-0.009917436657346013,0,0,0,-0.0,1.0
2012-08-15,30.1,0.0,0,0,0,0.0,1.0
2012-08-16,30.15,0.0016597514183644968,0,0,0,0.0,1.0
2012-08-17,30.15,0.0,0,0,0,0.0,1.0
2012-08-20,30.2,0.0016570012076293494,0,0,0,0.0,1.0
2012-08-21,30.35,0.004954593124683715,0,0,0,0.0,1.0
2012-08-22,30.25,-0.0033003330286569543,0,0,0,-0.0,1.0
2012-08-23,30.25,0.0,0,0,0,0.0,1.0
2012-08-24,30.25,0.0,0,0,0,0.0,1.0
2012-08-27,30.25,0.0,0,0,0,0.0,1.0
2012-08-28,30.25,0.0,0,0,0,0.0,1.0
2012-08-29,30.25,0.0,0,0,0,0.0,1.0
2012-08-30,30.25,0.0,0,0,0,0.0,1.0
2012-08-31,30.25,0.0,0,0,0,0.0,1.0
2012-09-03,30.25,0.0,0,0,0,0.0,1.0
2012-09-04,30.25,0.0,0,0,0,0.0,1.0
2012-09-05,30.25,0.0,0,0,0,0.0,1.0
2012-09-06,30.25,0.0,0,0,0,0.0,1.0
2012-09-07,30.25,0.0,0,0,0,0.0,1.0
2012-09-10,30.25,0.0,0,0,0,0.0,1.0
2012-09-11,30.25,0.0,0,0,0,0.0,1.0
2012-09-12,30.25,0.0,0,0,0,0.0,1.0
2012-09-13,30.25,0.0,0,0,0,0.0,1.0
2012-09-14,30.25,0.0,0,0,0,0.0,1.0
2012-09-17,30.25,0.0,0,0,0,0.0,1.0
2012-09-18,30.15,-0.00331126130365611,0,0,0,-0.0,1.0
2012-09-19,30.15,0.0,0,0,0,0.0,1.0
2012-09-20,30.25,0.00331126130365611,0,0,0,0.0,1.0
2012-09-21,30.15,-0.00331126130365611,0,0,0,-0.0,1.0
2012-09-24,30.15,0.0,0,0,0,0.0,1.0
2012-09-25,30.15,0.0,0,0,0,0.0,1.0
2012-09-26,30.15,0.0,0,0,0,0.0,1.0
2012-09-27,30.15,0.0,0,0,0,0.0,1.0
2012-09-28,30.15,0.0,0,0,0,0.0,1.0
2012-10-01,30.25,0.00331126130365611,0,0,0,0.0,1.0
2012-10-02,30.25,0.0,0,0,0,0.0,1.0
2012-10-03,30.15,-0.00331126130365611,0,0,0,-0.0,1.0
2012-10-04,30.25,0.00331126130365611,0,0,0,0.0,1.0
2012-10-05,30.15,-0.00331126130365611,0,0,0,-0.0,1.0
2012-10-08,30.15,0.0,0,0,0,0.0,1.0
2012-10-09,30.15,0.0,0,0,0,0.0,1.0
2012-10-10,30.3,0.004962789342128904,0,0,0,0.0,1.0
2012-10-11,30.15,-0.004962789342128904,0,0,0,-0.0,1.0
2012-10-12,30.05,-0.0033222621919777318,0,0,0,-0.0,1.0
2012-10-15,30.05,0.0,0,0,0,0.0,1.0
2012-10-16,30.05,0.0,0,0,0,0.0,1.0
2012-10-17,30.05,0.0,0,0,0,0.0,1.0
2012-10-18,30.05,0.0,0,0,0,0.0,1.0
2012-10-19,30.05,0.0,0,0,0,0.0,1.0
2012-10-22,30.05,0.0,0,0,0,0.0,1.0
2012-10-23,30.05,0.0,0,0,0,0.0,1.0
2012-10-24,30.05,0.0,0,0,0,0.0,1.0
2012-10-25,30.05,0.0,0,0,0,0.0,1.0
2012-10-26,30.25,0.006633523495633842,0,0,0,0.0,1.0
2012-10-29,29.95,-0.009966859915392146,0,0,0,-0.0,1.0
2012-10-30,29.85,-0.0033444847228474295,0,0,0,-0.0,1.0
2012-10-31,29.85,0.0,0,0,0,0.0,1.0
2012-11-01,29.85,0.0,0,0,0,0.0,1.0
2012-11-02,29.85,0.0,0,0,0,0.0,1.0
2012-11-05,29.85,0.0,0,0,0,0.0,1.0
2012-11-06,29.85,0.0,0,0,0,0.0,1.0
2012-11-07,29.85,0.0,0,0,0,0.0,1.0
2012-11-08,29.9,0.0016736405580295433,0,0,0,0.0,1.0
2012-11-09,29.85,-0.0016736405580295433,0,0,0,-0.0,1.0
2012-11-12,29.85,0.0,0,0,0,0.0,1.0
2012-11-13,29.85,0.0,0,0,0,0.0,1.0
2012-11-14,29.85,0.0,0,0,0,0.0,1.0
2012-11-15,29.85,0.0,0,0,0,0.0,1.0
2012-11-16,29.85,0.0,0,0,0,0.0,1.0
2012-11-19,29.85,0.0,0,0,0,0.0,1.0
2012-11-20,29.95,0.0033444847228474295,0,0,0,0.0,1.0
2012-11-21,29.85,-0.0033444847228474295,0,0,0,-0.0,1.0
2012-11-22,29.85,0.0,0,0,0,0.0,1.0
2012-11-23,29.9,0.0016736405580295433,0,0,0,0.0,1.0
2012-11-26,29.85,-0.0016736405580295433,0,0,0,-0.0,1.0
2012-11-27,29.85,0.0,0,0,0,0.0,1.0
2012-11-28,29.85,0.0,0,0,0,0.0,1.0
2012-11-29,29.85,0.0,0,0,0,0.0,1.0
2012-11-30,29.85,0.0,0,0,0,0.0,1.0
2012-12-03,29.95,0.0033444847228474295,0,0,0,0.0,1.0
2012-12-04,29.85,-0.0033444847228474295,0,0,0,-0.0,1.0
2012-12-05,29.95,0.0033444847228474295,0,0,0,0.0,1.0
2012-12-06,29.85,-0.0033444847228474295,0,0,0,-0.0,1.0
2012-12-07,29.85,0.0,0,0,0,0.0,1.0
2012-12-10,29.75,-0.0033557078469721446,0,0,0,-0.0,1.0
2012-12-11,29.75,0.0,0,0,0,0.0,1.0
2012-12-12,29.75,0.0,0,0,0,0.0,1.0
2012-12-13,29.75,0.0,0,0,0,0.0,1.0
2012-12-14,29.75,0.0,0,0,0,0.0,1.0
2012-12-17,30.2,0.015012792389184959,0,0,0,0.0,1.0
2012-12-18,29.75,-0.015012792389184959,0,0,0,-0.0,1.0
2012-12-19,29.75,0.0,0,0,0,0.0,1.0
2012-12-20,29.75,0.0,0,0,0,0.0,1.0
2012-12-21,29.75,0.0,0,0,0,0.0,1.0
2012-12-24,29.75,0.0,0,0,0,0.0,1.0
2012-12-25,29.75,0.0,0,0,0,0.0,1.0
2012-12-26,30.15,0.01335579118155561,0,0,0,0.0,1.0
2012-12-27,30.25,0.00331126130365611,0,0,0,0.0,1.0
2012-12-28,30.25,0.0,0,0,0,0.0,1.0
2012-12-31,30.15,-0.00331126130365611,0,0,0,-0.0,1.0
2013-01-01,30.15,0.0,0,0,0,0.0,1.0
2013-01-02,30.35,0.006611594332313064,0,0,0,0.0,1.0
2013-01-03,30.35,0.0,0,0,0,0.0,1.0
2013-01-04,30.35,0.0,0,0,0,0.0,1.0
2013-01-07,30.35,0.0,0,0,0,0.0,1.0
2013-01-08,30.1,-0.008271345750677561,0,0,0,-0.0,1.0
2013-01-09,30.35,0.008271345750677561,0,0,0,0.0,1.0
2013-01-10,30.35,0.0,0,0,0,0.0,1.0
2013-01-11,30.35,0.0,0,0,0,0.0,1.0
2013-01-14,30.25,-0.0033003330286569543,0,0,0,-0.0,1.0
2013-01-15,30.25,0.0,0,0,0,0.0,1.0
2013-01-16,30.25,0.0,0,0,0,0.0,1.0
2013-01-17,30.25,0.0,0,0,0,0.0,1.0
2013-01-18,30.25,0.0,0,0,0,0.0,1.0
2013-01-21,30.15,-0.00331126130365611,0,0,0,-0.0,1.0
2013-01-22,30.15,0.0,0,0,0,0.0,1.0
2013-01-23,30.15,0.0,0,0,0,0.0,1.0
2013-01-24,30.15,0.0,0,0,0,0.0,1.0
2013-01-25,29.95,-0.0066555986117360355,0,0,0,-0.0,1.0
2013-01-28,30.15,0.0066555986117360355,0,0,0,0.0,1.0
2013-01-29,30.15,0.0,0,0,0,0.0,1.0
2013-01-30,30.15,0.0,0,0,0,0.0,1.0
2013-01-31,30.15,0.0,0,0,0,0.0,1.0
2013-02-01,29.95,-0.0066555986117360355,0,0,0,-0.0,1.0
2013-02-04,30.15,0.0066555986117360355,0,0,0,0.0,1.0
2013-02-05,30.15,0.0,0,0,0,0.0,1.0
2013-02-06,30.15,0.0,0,0,0,0.0,1.0
2013-02-07,30.15,0.0,0,0,0,0.0,1.0
2013-02-08,30.15,0.0,0,0,0,0.0,1.0
2013-02-11,30.15,0.0,0,0,0,0.0,1.0
2013-02-12,30.15,0.0,0,0,0,0.0,1.0
2013-02-13,30.05,-0.0033222621919777318,0,0,0,-0.0,1.0
