strategy,window,n_days,missing_y_pred_filled_neutral,cumulative_log_return,cumulative_simple_return,annualized_vol_ddof0,sharpe_like_rf0_ddof0,max_drawdown,exposure_rate,turnover_proxy_mean_abs_dpos,n_position_change_events,n_flips,n_roundtrip_trades,win_rate,return_convention_core
B1_USDhold,V2_agg_mean,652.0,0.0,0.0895253192844074,0.0959811667184373,0.1350402906584729,0.3738810098064425,-0.0924158471579469,1.0,0.0,0.0,0.0,1.0,1.0,log
B2_MAcross,V2_agg_mean,652.0,0.0,-0.18052105522558204,-0.1527918623077969,0.12330963794065453,-0.4756928719763551,-0.21429530735168406,0.8138069797453444,0.07656319208622472,48.0,1.25,48.0,0.2425855143785472,log
T1_L1Q_LR,V2_agg_mean,652.0,0.0,-0.020187491178535,-0.0193939246907605,0.0575117287670093,-0.6778224619896739,-0.0238259441707717,0.0033524904214559,0.0067049808429118,3.5,0.0,1.75,0.4285714285714285,log
T2_L2_LR,V2_agg_mean,652.0,0.0,-0.0363005550803905,-0.024181441482297,0.1349918262523643,0.11283031544918,-0.157116631841277,0.9959279699366944,0.2081928808183349,66.75,63.25,65.5,0.2978018446864432,log
